source_idiom,source_lang,target_idiom,target_lang,label,idiom_string,split,source
"This, following the House of Lords decision in Scottish Insurance v. Wilson & Clyde Coal Co was, in effect, done by capital reductions even though the shares were irredeemable and quoted at above par, for the Lords decided in that case and in Prudential Assurance v. Chatterley - Whitfield Collieries in the same year, that the courts had to confirm the reductions since the preference shareholders were being treated in strict accordance with their class rights.",en,,,1,above par,train,MAGPIE
In the penalty box he is above par.,en,,,1,above par,train,MAGPIE
"For bonds trading at or above par ( so that ), duration increases with maturity and approaches this limit from below.",en,,,1,above par,train,MAGPIE
"Table 3.4 gives details of government bond issues during the last three months of 1991 and shows that, of the five issues, three were made at prices below par and two at prices above par.",en,,,1,above par,train,MAGPIE
"Quality in business in the nineties means getting things right first time, every time, right across the board.",en,,,1,across the board,train,MAGPIE
"This does not mean, however, that young children are realists ‘ across the board’.",en,,,1,across the board,train,MAGPIE
Fiat has improved equipment levels across the board and a 1.1 Uno now casts what the 1-litre used to cost.,en,,,1,across the board,train,MAGPIE
"However, GKR began to flourish in the early 1980s, not so much in financial services as across the board in industry.",en,,,1,across the board,train,MAGPIE
"These include a capital gains tax cut, a 15 % investment tax allowance and across - the - board tax rate cuts.",en,,,1,across the board,train,MAGPIE
Whatever the cultural background one characteristic went right across the board : the desire to evangelise.,en,,,1,across the board,train,MAGPIE
Things might have been different if there had been more consultation with industry people across the board.,en,,,1,across the board,train,MAGPIE
"Yes, because actually thinking about it across the board, those energetic women in soaps have been married off or calmed down.",en,,,1,across the board,train,MAGPIE
"Singapore : Shares closed firmer across the board in active trade, with the Straits Times index 8.17 points higher at 1,413.15.",en,,,1,across the board,train,MAGPIE
"Similarly, the explosion in the population of sentenced prisoners, which was an ongoing phenomenon for most of the 1990s, appears to be largely attributable to the persistent practice of ‘ over - sentencing’— both in the sense of using custody unnecessarily for minor property offenders and others, and of imposing longer sentences across the board than is required for strictly reductivist purposes — for which responsibility rests mainly, but not exclusively, with the Crown Court.",en,,,1,across the board,train,MAGPIE
"Steve Cardownie, Labour recreation convener of the council, said officials had recommended a 2 per cent across - the - board cut for all the cultural grants.",en,,,1,across the board,train,MAGPIE
It is also hoped to produce estimates across the board up to 1962 as a contribution to the complete picture up to the present.,en,,,1,across the board,train,MAGPIE
"He only has specific proposals for 10 % of the total entitlement spending cap, yet the across the board tax rate cuts would lose $ 25bn a year in revenue for each percentage point reduced, and conservatives are calling for a three point cut.",en,,,1,across the board,train,MAGPIE
"On Wall Street, across - the - board buying in the oil sector sparked a rally.",en,,,1,across the board,train,MAGPIE
"It is the evaluators ' belief that the impressive rhetoric contained in this part of the proposal describes an ideal which the school could not realistically be expected to achieve, without an across - the - board change amounting to a curriculum revolution.",en,,,1,across the board,train,MAGPIE
This is something I think there will be agreement with across the board.,en,,,1,across the board,train,MAGPIE
"Nao Naomi realizes there's no point talking about it now, the dye has been cast the decision has been made, the commitment has been entered into, whatever the cost she was going gods way, there was nothing more to be said about it we find that a de a decision made before god and we all make those decisions, means nothing at all unless were determined to carry it through, whatever the cost may be, three women here make their decisions before god, they make their choices, Naomi she chooses to return to Judah once again and enjoy the inheritance god has given her, Auper she chooses to return to her own country and her own god, as far as were concerned that's the end of the story, but Ruth she chooses, she expresses her faith in the one true god, she turns her back on the old ways and decides to follow gods way, no matter what the cost, she would of said with Joshua, but as for me and my husband were gon na serve god, whatever the cost, I dunno what 'll be and she didn't know what she was letting herself in for, and the, I counted it, although I don't know what it is, I counted that cost, I 'm willing to pay it and Jesus said that that is the acid test of disciples, said to count the cost and weigh it up and Ruth had done that, then to make their decision and because if we make a decision without counting the cost, without weighing it all up, like Auper you 'll go back, it won't last, there is that choice for every one of us day by day, who will we serve, not to be like Joshua, its for us, never for any body else, I will serve the lord because and this is the reason for it, not because you 've done nice things for me, I will be your saviour because he is god, that's the reason for our serving god, not because he blesses us because he blesses people who don't serve him, blessing is not exclusive to gods people, blessing, god blesses across the board, god is generous he's gracious, he causes the rain and the sun to shine on the just and on the unjust, blessing is not the ground for serving god, but because he is god that's sufficient reason for our committing ourselves to him.",en,,,1,across the board,train,MAGPIE
"It has to be done evenly across the board, in the rural and urban areas, or else we will fight every tooth and nail to make sure that we, our schools that we represent do not suffer.",en,,,1,across the board,train,MAGPIE
Bombay : An official denial of moves to end price controls on steel triggered nervous long liquidation across the board.,en,,,1,across the board,train,MAGPIE
There seems to be a dearth of good small tools across the board.,en,,,1,across the board,train,MAGPIE
In fact you 'll find that's across the board with P H I.,en,,,1,across the board,train,MAGPIE
"As a result, building costs are higher right across the board for nuclear stations and construction time is also up to twice as long.",en,,,1,across the board,train,MAGPIE
"At the same time, welfare benefits were increased but this did produce complaints about ‘ idlers’ and ‘ scroungers’, across - the - board welfare payments were becoming increasingly expensive and some Labour Party members began to press for more selective methods of eliminating poverty.",en,,,1,across the board,train,MAGPIE
"To get to our current budget we have made across the board cuts of 20pc, that is on top of 25pc made last year,’ he said.",en,,,1,across the board,train,MAGPIE
"Always select popular groups and rugs which represent a reasonable cross - section of the sizes and prices ranges on offer ( i.e. from a small nomadic rug to a workshop carpet ), because prices do not always fluctuate evenly across the board.",en,,,1,across the board,train,MAGPIE
"Such sanctions could be implemented either by insisting that before receiving funds form the EC for a particular project the member country must ensure that the project in question complies with environmental legislation, or if a member country does not comply with environmental legislation across the board, the EC could withhold funding.",en,,,1,across the board,train,MAGPIE
"Now some people, even though the Green Party has er been an established party for some time now, might feel that er it, this is the Green Party perhaps coming of age because it doesn't sound like a Green issue, you 're, you 're discussing things across the board at the moment aren't you",en,,,1,across the board,train,MAGPIE
"In a move more likely to divide the party than unite it, he hinted that the traditional socialist commitment to across - the - board state benefits might be ditched. '",en,,,1,across the board,train,MAGPIE
"The immediate effect of the revenue enhancement however, brought with it a more than proportionate increase in costs across the board and a surplus deflated by approximately £ 100,000.",en,,,1,across the board,train,MAGPIE
The opposition candidate won a sweeping victory with a mandate for democracy and a fresh start across the board.,en,,,1,across the board,train,MAGPIE
The back foot is placed across the board on the centreline at a comfortable distance behind the front foot.,en,,,0,across the board,train,MAGPIE
Otherwise Congress would have to face the consequences of automatic across - the - board cuts under the Gramm - Rudman - Hollings budget deficit reduction law.,en,,,1,across the board,train,MAGPIE
"The shares have been soaring on hopes that the rate rises would go through, and Nippon Telegraph & Telephone Corp is likely to get some of the local rate increases it is seeking, Minister of Posts and Telecommunications Junichiro Koizumi told Reuters : the company wants to raise rates across the board, but the hikes are likely to be granted only for pay telephones, not for households or businesses.",en,,,1,across the board,train,MAGPIE
"The Butler Bloor missive identifies a number of key trends that will, in its opinion, result in a dramatic increase in networking activity across the board.",en,,,1,across the board,train,MAGPIE
"Erm but the more general training er sort of across the board that came up for staff in general was certain things that are, are bound to happen for example on course training will happen.",en,,,1,across the board,train,MAGPIE
"Apart from Africa, there is not a great deal of potential arable land left, so, using an across - the - board figure, it would be necessary to devote approximately 66 per cent of all farmed lands to cereals.",en,,,1,across the board,train,MAGPIE
"For example, a famous debate, which started with an exchange in the pages of the scholarly journal World Politics in 1966, was ostensibly an across - the - board one between Behaviouralists and Realists ( or Traditionalists as they were there called ).",en,,,1,across the board,train,MAGPIE
"Already we 're seeing sector the er, those er new independent colleges coming along and saying do you recognize, er G M B and er during the single union agreement with UNISON and we 've got ta get our act together cos the only with thing that's going on, we 're seeing local authorities getting smashed up and we 're seeing UNISON which will be going right across the board.",en,,,1,across the board,train,MAGPIE
"All across the board, we get kids from every walk of life.",en,,,1,across the board,train,MAGPIE
"The commission recommended an immediate 80 per cent cut in industrial energy taxes, with the revenue shortfall made up by across - the - board increases in taxes on heating oil and electricity use.",en,,,1,across the board,train,MAGPIE
"With eight 88100s configured in pairs across four boards, a two - level cache system and dual memory bus architecture, the rack - mounted AV6280 unit is rated by the company at 235 MIPS and comes with 128Mb memory.",en,,,0,across the board,train,MAGPIE
"This was firmly rejected by the staff - side reps, who have maintained throughout the negotiations that the original agreement on LW should be adhered to, that it should be considered separately from the rest of the negotiations, and that LW needs to be a flat - rate, across - the - board payment to compensate for the costs incurred by working in London.",en,,,1,across the board,train,MAGPIE
"Apart from that scenario where those people will have to apply for their jobs, and the T Os across the board",en,,,1,across the board,train,MAGPIE
"Some of the changes will affect authorities across the board, others will be specific to particular services.",en,,,1,across the board,train,MAGPIE
"Practice does not take place in a vacuum, and may be implicitly based on contingent theories which allow few across - the - board answers or approaches.",en,,,1,across the board,train,MAGPIE
Their fires were still curling blue smoke into the frosty air as they filed out of the village and across the icy boards of the small bridge.,en,,,0,across the board,train,MAGPIE
Fears of higher interest rates if Labour takes power produced across - the - board mark - downs of brewing stocks.,en,,,1,across the board,train,MAGPIE
"‘ What we have seen across the board is a failure of justice,’ she said.",en,,,1,across the board,train,MAGPIE
"An election could come at any time, and policies across the board were being honed in readiness.",en,,,1,across the board,train,MAGPIE
"So far, an across - the - board reduction of poundages by 6.25 per cent has been applied.",en,,,1,across the board,train,MAGPIE
"She tiptoed across the wide polished boards, past the stuffed bear with his arms full of walking sticks, the brass - faced longcase clock, the dignified portrait of old Mr Jarman with his watching eyes, and quietly opened the door, drawing in great breaths of sharp fresh air, revelling in this stolen freedom.",en,,,0,across the board,train,MAGPIE
Throughout July everything is reduced right across the board.,en,,,1,across the board,train,MAGPIE
Better to be in philosophy than have the facilities which has greatly benefited the charge payers and the people who think right across the board.,en,,,1,across the board,train,MAGPIE
The Americans have demanded a reduction of 75 % in subsidies to agriculture across the board.,en,,,1,across the board,train,MAGPIE
"Secondly, the model implies that curriculum planning is always to some extent a contingent matter, in which there will be few across - the - board answers.",en,,,1,across the board,train,MAGPIE
Such deterrent action seems obvious but there has been an across - the - board reluctance by BCU committees over the years for the membership to have been informed of punishments handed out for any misdemeanours.,en,,,1,across the board,train,MAGPIE
Zurich : Selected blue chips saw high turnover as shares firmed across the board.,en,,,1,across the board,train,MAGPIE
"CAMBRIDGE – With economic growth slowing significantly in many major middle - income countries and asset prices falling sharply across the board, is the inevitable “ echo crisis ” in emerging markets already upon us?",en,,,1,across the board,train,MAGPIE
"Organic farming is described by its supporters as a sustainable policy for the future, and can be applied across the board : arable, dairy, beef, sheep, pig, poultry, vegetable and fruit.",en,,,1,across the board,train,MAGPIE
The difficulty of imposing spending cuts across the board was shown by social security.,en,,,1,across the board,train,MAGPIE
"Mr Hanna made a plea, for licence to discount ‘ across the board for, say, a week after Christmas, when everybody else is having sales’.",en,,,1,across the board,train,MAGPIE
"You, you know how I feel, I mean er Rob does a lot of good work but he keeps it all to himself and we 've got ta be bigger than keeping it to ourselves, it's everybody's responsibility vocational education from right down from year seven right the way across the board, they 've got ta",en,,,1,across the board,train,MAGPIE
"I i in London there's been a good improvement across the board, a much healthier corporate finance climate and Lazzards has er, been pretty prominent in the rights issues in the first half of the year.",en,,,1,across the board,train,MAGPIE
"Public examination statistics have regularly been collected although difficulties of establishing comparability over time, and across different examination boards and subjects, have reduced their usefulness for assessing the performance of the education system as a whole.",en,,,0,across the board,train,MAGPIE
The serious part is to promote safe driving across the board.,en,,,1,across the board,train,MAGPIE
"Prices were slashed across the board, leaving the index 65.2 points lower at 2,382.7, down 74 points on the account.",en,,,1,across the board,train,MAGPIE
An across - the - board increase of £ 100 per manager,en,,,1,across the board,train,MAGPIE
"They are expected to fall across the board among the firm's 38,500 employees but will be confined to New York.",en,,,1,across the board,train,MAGPIE
"They 're targetting food colourings across the board, not even cocktail cherries are safe.",en,,,1,across the board,train,MAGPIE
"The way to deal with the international support system at the moment is to reduce it right across the board — for all support systems to be reduced at a speed which farmers can bear and which bears on different types of farmers equally, both within the Community and as between the Community and our competitors in the United States.",en,,,1,across the board,train,MAGPIE
Its core would be those states which are committed to making European co - operation work across the board from security to social policy : Germany and its immediate neighbours.,en,,,1,across the board,train,MAGPIE
“ We have refrained from expelling English refugees across the board out of consideration for our relationship to England.,en,,,1,across the board,train,MAGPIE
"El Vino is unusual in offering so many traditional wines of a drinkable age, and prices compare well across the board.",en,,,1,across the board,train,MAGPIE
It applies to health right across the board.,en,,,1,across the board,train,MAGPIE
"Their views might have attracted wider sympathy if the regime had been engaging in repression across the board, but although the tsar appeared to move to the right when he appointed Valuev to the Ministry of Internal Affairs and Admiral Putiatin to the Ministry of Education, he was very far from abandoning the cause of reform.",en,,,1,across the board,train,MAGPIE
so he said it's across the board put four thousand quid's worth off him the other day and I only give fifty pence off he said so I can't do much for you.,en,,,1,across the board,train,MAGPIE
February to June and September are powerful months for new alliances and relationships across the board.,en,,,1,across the board,train,MAGPIE
"Similarly, the 1947 Royal Commission on the Press, the first official, across - the - board inquiry into the modern press and the first of three in the 1945 — 90 period, judged the press by three standards, one of which was as an industry.",en,,,1,across the board,train,MAGPIE
And so it is right across the board.,en,,,1,across the board,train,MAGPIE
"Targets already announced for the year are 4705 m capex, and savings of $ 150 m, which will include job cuts and savings across the board.",en,,,1,across the board,train,MAGPIE
"The situation which has applied in two out of the last three years, when percentage cuts or hold - backs were applied across the board by Management, is incompatible with the special factors involved in Library financial management.",en,,,1,across the board,train,MAGPIE
"I read in the Planning Press that the Newbury District Council managed to browbeat the the Department of Environment into accepting the phrase in their in a local plan, so perhaps presumptions are er the word presumption may or may not be acceptable, but then to extend it into saying well you can't even say, not normally be acceptable, and, not normally be er agreeable, for any sort of policy er means that strategic policies or general policy approaches are simply ruled out ri right across the board.",en,,,1,across the board,train,MAGPIE
"Across - the - board nuclear equality can, in the end, only boost to Iran's nuclear claims.",en,,,1,across the board,train,MAGPIE
"Shortly after, he makes correct use of grammatical particles such as‘do’ and, let us say, the whole auxiliary system of English, and does so across the board, that is, in questions, assertions, negations, etc.",en,,,1,across the board,train,MAGPIE
The two main aims were achieved across the board.,en,,,1,across the board,train,MAGPIE
"But certainly, equal opportunities as as a part of the integral working of N C V O and we do regularly review, how we, as an organisation, are meeting our equal opportunities requirements across the board, that's race, sex, disability, er, in involving the the staff who are at lower levels and so on.",en,,,1,across the board,train,MAGPIE
"THERE 'S that important point again, which is true right across the board and worth repeating.",en,,,1,across the board,train,MAGPIE
"Note that if we were looking across the board from left to right the rig would still be relatively upright, as it is being pushed well forwards thereby supplying maximum power.",en,,,0,across the board,train,MAGPIE
gon na a be across the board?,en,,,1,across the board,train,MAGPIE
MIRAS introduced across the board,en,,,1,across the board,train,MAGPIE
Ratings dip right across the board.,en,,,1,across the board,train,MAGPIE
"' Basically we 've looked and said there's no reason for any knee - jerk reaction or across - the - board actions here, ' Collis said, adding that Dell will be sticking to its own price timetable.",en,,,1,across the board,train,MAGPIE
"across the board trouble is when you get these differential spend all the interpretation on them, not that you 're rewarding the good teachers but that some teachers are not worth rewarding.",en,,,1,across the board,train,MAGPIE
"Lucas maintains that, in an economy in which all nominal prices are rising, workers face a twofold ‘ signal extraction’ problem ( see Sheffrin, 1983):(a ) ascertaining whether the real supply price of labour is changing when all other prices are in a state of flux;(b ) evaluating the temporary and permanent components of a change in real wages which, in the light of(a ), may accompany across the board changes in prices.",en,,,1,across the board,train,MAGPIE
"Its great merit is that it is not confined to particular activities, and therefore has an across - the - board application to different sources of endangerment.",en,,,1,across the board,train,MAGPIE
"The government of the Republic of Hungary will become the first East European administration to adopt an open system strategy across the board, saying it intends to use X / Open Group Co Ltd's XPG brand in procurement and is to join X / Open's user council : a government action plan on information technology has been put togther with the assistance of the European Commission and individual national governments within the EEC.",en,,,1,across the board,train,MAGPIE
"Of ~ course, no one should infer from the Libyan case that other SWFs across the board are riddled with corruption and conflicts of interest.",en,,,1,across the board,train,MAGPIE
"An across the board budgetary cut of 10 per cent for all state departments was proposed ; there was to be a freeze on the hiring of state employees, a large reduction in the staffing of state mental hospitals and various other cost cutting measures.",en,,,1,across the board,train,MAGPIE
"In the event the Act required simultaneous, across - the - board registration of both sectors, placing an unnecessary strain on the private sector, and ensuring the greatest possible public hostility to the legislation, and the greatest possible strain on the Registrar's Office.",en,,,1,across the board,train,MAGPIE
"I think I think the only thing that I would disagree with there is that I strongly suspect that a lot of tutors in the university, not just women tutors but across the board, really have little idea of the level of sexual harassment that students that female students have identified as being problem in the questionnaire.",en,,,1,across the board,train,MAGPIE
"The public should no more offer a subsidy of this kind using public money without checking if the recipient actually requires it or anybody else besides, means testing is nothing new, there are plenty of other benefits that are already means tested right across the board.",en,,,1,across the board,train,MAGPIE
IPC Magazines is undoubtedly at the top of the list with its ‘ across the board’ implementation plans ; several titles are already wholly or partly created in this way.,en,,,1,across the board,train,MAGPIE
"Repudiating as "" bad judgment "" his 1990 decision to raise taxes — a move which had contravened his 1988 election pledge — Bush promised across - the - board tax cuts of an indeterminate size, unspecified spending reductions, and a plan to reduce the size of the country's debt during his second term.",en,,,1,across the board,train,MAGPIE
"We 've got so much to do that requires investment which is why er I have said er that we can not have in general, across the board tax cuts, er income tax cuts, because we need the money for that crucial social investment.",en,,,1,across the board,train,MAGPIE
"Erm so I think we 've got ta look at that right across the board though, we 've got ta know that in actual fact we 're covering it temporarily, erm or aren't we covering it temporarily.",en,,,1,across the board,train,MAGPIE
"For example, the current budget sequester ( that is, across - the - board spending cuts ) is already hurting programs like Head ~ Start, which supports pre - school education.",en,,,1,across the board,train,MAGPIE
"On 27 May the government, the employers and the CFDT and CGT concluded the ' Grenelle agreements ', embodying a 10 per cent across - the - board wage rise, an increase in the minimum wage, a small cut in working hours and a marginal extension of trade union rights.",en,,,1,across the board,train,MAGPIE
"Nowhere in these islands, outside South Wales, is there such across - the - board enthusiasm, from the professional classes to the ‘ cloth - capped’ brigade.",en,,,1,across the board,train,MAGPIE
Are we talking about just small businesses or is it happening across the board?,en,,,1,across the board,train,MAGPIE
But should this approach be followed if a future government should decide to make an across - the - board increase in national insurance rates that is significantly above the increase in prices?,en,,,1,across the board,train,MAGPIE
"There is no across - the - board agreement on the importance of the independent variables ; the pooled data, except in the case mentioned above, weaken rather than strengthen the analysis.",en,,,1,across the board,train,MAGPIE
"The middle class is buying foreign cars, vacationing abroad, and dining at sushi restaurants, and surveys show that life satisfaction has increased across the board.",en,,,1,across the board,train,MAGPIE
"Public - sector workers, it was announced in mid - October, would received a fixed pay rise of 12,000 australs and have an earlier fixed bonus of 8,000 australs incorporated into their monthly salaries ; according to Rapanelli this represented an across - the - board increase of between 9 per cent for the highest paid and 32 per cent for the lowest paid.",en,,,1,across the board,train,MAGPIE
across the board.,en,,,1,across the board,train,MAGPIE
"Or if we take this whole lot up to Malcolm, say that you know these are six quid across the board you know?",en,,,1,across the board,train,MAGPIE
