text,label,idiom_string,source
"in 1956 his book ' season of the sun ', which won the akutagawa award, struck several chords in a japan seeking to restore its confidence.",1,strike a chord,MAGPIE
"send your name and address on a card to woman /toshiba microwave offer, nelson bostock communications, 3 portobello mews, london w11 3dq.",0,on the cards,MAGPIE
"meanwhile, bobby ferguson yesterday threw down the gauntlet to sunderland's welsh international, colin pascoe.",1,throw down the gauntlet,MAGPIE
"not surprisingly, his enthusiasm knew no bounds.",1,know no bounds,MAGPIE
"instead, the finger is pointed at a common moral malaise due to over - liberalization and erosion of discipline ( patten, 1988 ).",1,point the finger,MAGPIE
have we fallen from grace?,1,fall from grace,MAGPIE
"his father struck the first chord and davide began,",0,strike a chord,MAGPIE
"his hands didn't roam, didn't take liberties that she might not have wanted him to take ; only his head moved, his mouth, as he kissed her first one way, then another ; drew her lower lip, infinitely gently, between his ; sampled the top lip, her tongue ; moved languidly to approach from another direction.",1,take the liberty,MAGPIE
out and about : turning up new leaves,1,out and about,MAGPIE
"the first is that i sit here, hit this bottle of old bedwetter and fall into flashbacks of lost loves and hard times past. '",1,hit the bottle,MAGPIE
honest to god it makes your blood boil,1,make your blood boil,MAGPIE
"unusual interests, off the beaten track experiences should be of interest.",1,off the beaten track,MAGPIE
shouldn't we now be acknowledging blame rather than passing the buck?,1,pass the buck,MAGPIE
but when you get er to a certain i think you do tend to find a lot of the dressier clothes are in black.,0,in the black,MAGPIE
‘ one man dies in his bed which mysteriously catches fire.,1,catch fire,MAGPIE
"when an old path runs across a valley bottom, you might also improve your chances of good finds by working off the beaten track.",1,off the beaten track,MAGPIE
gifford had gone overboard a bit in the blues though …,1,go overboard,MAGPIE
knock it off.,1,knock it off,MAGPIE
"he wrote to hanns about the time when wigs had been needed for dulcie's ballet fête galante, and one of the part - time dancers in the ballet club, a hairdresser by trade, offered to make them, from papier - mâché.",0,in the club,MAGPIE
"in spite of this, it was half an hour before she came downstairs dressed up to the nines in a pin - striped trouser - suit, her hair caught up in a turban of white silk.",1,dressed to the nines,MAGPIE
"the rest were wrapped up in a fog, from drugs or cracked minds, but anne knew exactly what was going on.",1,in a fog,MAGPIE
‘ do you think it might be third time lucky?’,1,third time lucky,MAGPIE
"with this in mind, the careers service at bristol is offering a course for graduates of bristol within ten years of graduation, who would like to help to take stock of their career to date and consider their future.",1,take stock,MAGPIE
"but tomorrow never happens — and, worse, the wife does the one thing absolutely guaranteed to put the kibosh on the whole matter.",1,put the kibosh on,MAGPIE
"at long last, the two chiefs of the indian tribes have decided to bury the hatchet and smoke the peace pipe.",1,bury the hatchet,MAGPIE
"in the 1950 ’s and 1960s, after sputnik, many thought that the soviets might get the better of america ; in the 1980 ’s, it was the japanese.",1,get the better of,MAGPIE
"this was all happening while i was walking through the bus station and taking my place in the queue ; and when i gained my seat i began looking in my bag for a piece of paper and a biro, and then, on the inside of a chocolate - bar wrapping i wrote what i must memorize and recite if i were to get the message over to the doctor — i, who even made heavy weather of describing a sore throat ; i, who after a period in the waiting - room could dry up so as to be virtually dumb.",1,make heavy weather of,MAGPIE
does my hon. friend agree that london is only one of several areas where costs are wildly out of line with the national average — sometimes higher and sometimes lower?,1,out of line,MAGPIE
i didn't know what was in it ; i just had the feeling that sunil wouldn't thank me if the boys in blue turned it over in their usual zeal to find something to donate to the oxfam shop.,1,boys in blue,MAGPIE
"he is deputy prime minister, but yesterday sat on the very edge of the platform group.",0,on edge,MAGPIE
"by a stroke of luck, an article that is an embarrassment on the home market is like gold on another.",1,stroke of luck,MAGPIE
he was getting on her nerves.,1,get on someone's nerves,MAGPIE
"i was out of order, but the claudia adams who enticed garry away from his wife and the girl i am beginning to know could be two different people.’",1,out of order,MAGPIE
"‘ but when the dedicated thousands leave, the club may finally realise we still mean business.’",1,mean business,MAGPIE
"industrial base cut so close to the bone the marrow's leaking out, the old vaguely socialist inefficiencies replaced with more rabid capitalist ones, power centralised, corruption institutionalised, and a generation created which'll never have any skills beyond opening a car with a coat hanger and knowing which solvents give you the best buzz with a plastic bag over your head before you throw up or pass out.’",1,to the bone,MAGPIE
"brownie points, though, for the clock radio, iron and bathrobes — if none for the heating, which consists of a dimplex convector - cum - night storage heater.",1,brownie point,MAGPIE
that they had more say in the running of their industry of the railway.,0,in the running,MAGPIE
"the nut and bolt holding my friend's chain came off and there we were, two ten - year - olds, some fourteen miles from home with a useless bike.",0,nuts and bolts,MAGPIE
"most of the councillors seem to be hand in glove with each other ; you can't make any one of them speak to you, let alone give an interview.’",1,hand in glove,MAGPIE
"therefore, in history it is not nature and technology which makes human society but it is man himself, who in terms of his already existing ideas and values, makes his own history, as he encounters nature and the problems it poses.",1,make history,MAGPIE
"he rested his glass on the paunch now, regarded them owlishly, and gave the impression, as always, of someone who had not gone through the usual process of growing up, but had remained a toddler, magnified to the nth degree.",1,to the nth degree,MAGPIE
"‘ it is hard to turn a blind eye to something so obvious and widespread,’ wrote the author of a forestry text in 1962.",1,turn a blind eye,MAGPIE
"while not everyone welcomed the regime with open arms, it is opportune to reflect on its effectiveness and to weigh up the costs and benefits of regulation of the profession by the profession.",1,with open arms,MAGPIE
"in france intermittent discussion from 1879 onwards, in which the advocates of change often pointed to britain and germany as models, bore fruit at last in the sending in 1904 of a commercial attaché to london at the special request of the embassy there : by 1908 the french diplomatic service included six such appointments.",1,bear fruit,MAGPIE
"i think that there's a lot for your lordship to read but i think it might be beneficial in the long run, it was certainly, our experience has been that it certainly would take time in the long run but to deal with it this way.",1,in the long run,MAGPIE
"and familiar edward bear lay on her pillow and victoria slept on her stomach in her cot six feet away, behind white painted bars.",0,behind bars,MAGPIE
"somewhere and somehow she 'd given them the slip, shinned down the mat of virginia creeper in the darkness and scuttled across the lawn to hide.",1,give someone the slip,MAGPIE
"the same plasterwork motif, lit with orange, purple and green lights, was used by de nooijer for a wall decoration in the main entrance of the social welfare office in middelburg in 1988.",0,green light,MAGPIE
"still criminally ignored here in the blighty, the mekons prove that early 30s with a penchant for late nights and beer can still cut a rug with contemporary sounds.",1,cut a rug,MAGPIE
"that's out of order that is, the girls go mental over that.",1,out of order,MAGPIE
"however, the split - brain findings may not apply to normal subjects, and attempts to compare the relative effects of damage to left and right sides of the brain are notoriously fraught with problems.",0,left and right,MAGPIE
she had come to terms with newley's affair with arabella ; she believed that she had her husband precisely where she wanted him.,1,come to terms with,MAGPIE
' no can do.,1,no can do,MAGPIE
"that saved rough trade's bacon, as it turned out.",1,save someone's bacon,MAGPIE
‘ we thought the world of him and just can't believe he was involved.,1,think the world of,MAGPIE
it was near loch pattack in a thick rolling fog.,0,in a fog,MAGPIE
"alternatively, a year's au - pairing in france, a beauty therapy course or half - a - dozen driving lessons did the trick.",1,do the trick,MAGPIE
"with its clear, simple layout, essential notes on the marking, realistic documents, and full comments on both high- and low - scoring answers, these three compact volumes are perfectly suited for use in class or for self - study.",0,high and low,MAGPIE
"right, am i let off the hook now?",1,off the hook,MAGPIE
"some are dyed - in - the - wool environmentalists, many are businesspeople with tourist interests, but many more are ordinary people.",1,dyed in the wool,MAGPIE
"with miss stocks's support, the cassell trust grant was renewed yet again, but miss green appeared to have lost her former enthusiasm for breaking new ground and she concentrated her efforts in established wea branches with the exception of corby which she helped to re - establish in 1936.",1,break new ground,MAGPIE
"as he did so, some loose change fell out of his trouser's pocket and rolled under the table.",0,out of pocket,MAGPIE
the men said their employer was thinking twice about sending them to work in nationalist areas.,1,think twice,MAGPIE
it will not stop unless the border is sealed by troops who mean business.,1,mean business,MAGPIE
"suddenly there were more red figures, indicating below - par scores, against his name than peter snow has at his command in an election studio.",1,below par,MAGPIE
oxford turn the tables on arch rivals swindon.,1,turn the tables,MAGPIE
i held her hand to my lips for a moment.,0,hold someone's hand,MAGPIE
i could have bitten her head off.,1,bite someone's head off,MAGPIE
but it didn't work in fog.,0,in a fog,MAGPIE
it will built from scratch by pickering staplina in their lancashire factory.,1,from scratch,MAGPIE
they don't always see eye to eye but they respect one another.,1,see eye to eye,MAGPIE
newcastle the league leaders looked as tough as old boots …,1,tough as old boots,MAGPIE
"they may only exercise criminal jurisdiction while a state of defence exists, and otherwise only over members of the armed ~ forces serving abroad or on board warships.",0,on board,MAGPIE
they fought tooth and nail through an initial series of leagues and finished in seven knockout matches.,1,fight tooth and nail,MAGPIE
"very much like now, come to think of it : bored and fidgeting, breathing stale air while time stands still.",1,come to think of it,MAGPIE
time will tell whether swansea's grim win at an echoing twickenham was an omen that the international in february will be fought out in the cardiff fashion of last year or whether it was just these 80 minutes which had the mark of the beast upon them.,1,time will tell,MAGPIE
it is a fact of human personality that the argument which is supported by the greater weight of evidence does not always win the day ; people do not like to be proved wrong.,1,win the day,MAGPIE
‘ there is enough trouble for pensioners in this day and age without them having to go out and meet people such as you waiting to prey on them like jackals.’,1,in this day and age,MAGPIE
"i do not have the slightest doubt that in nottingham the money is available to do whatever is necessary to keep open those old people's homes, and so remove once and for all the worry of hundreds of residents in those homes.",1,once and for all,MAGPIE
"others publishers, with an eye on longterm prosperity, perhaps even survival, may wish to start building their launch pads from scratch and without delay.",1,from scratch,MAGPIE
"the tax aspects of a management buy - out must of course be considered in the light of company law, accounting and financing requirements, so there should be discussion amongst the various advisers acting for management, the banks and institutional investors.",1,in light of,MAGPIE
perhaps that is the luxury of being on the pay - roll of a monopoly subsidised by the government?,0,on a roll,MAGPIE
"yes that seems to me to fit that sort of bill, erm to be quite honest i would prefer that we base the promises on a previous paper that t six six one, er you know, sort of er typical success of the fact looking forward cos at least erm that's not so erm, you know, sort of difficult to erm you know achieve as erm sort of repairing potholes within, when you consider that the reason that the potholes don't get mended is because government legislation has it that we have to actually erm have lines painted all round them, so that they can be part of the package of er road mending in many cases, i mean urgently erm difficult ones are not that common er so i think that perhaps some of these promises are so difficult because it gives with one hand and takes back with the other, you know, it says we promise, but, i, i would say that's not much of a promise, you say i promise to erm, you know, erm merge, i forgot about, but if it said but, you know, if it rains i won't tell you, er it would be very sad",1,give and take,MAGPIE
the weather had been appalling and as a result the whole family had caught colds.,1,catch a cold,MAGPIE
"er sorry, liz mccolgan's just knocked ten seconds off the world record!",0,off the record,MAGPIE
"diamond started to fight back, pointing an accusatory finger at the bank of england.",1,point the finger,MAGPIE
"obviously we had a few injuries at the start of the season, so hopefully we can go from strength to strength now.",1,go from strength to strength,MAGPIE
use a hot air gun or a hair dryer to soften the vinyl,0,hot air,MAGPIE
battling nottingham turned the table upside down with a priceless 18–9 win against northampton that could keep them in division one and deny their visitors the championship.,1,turn the tables,MAGPIE
does the secretary of state agree that most politicians and church leaders have asked that there should be no tit - for - tat shootings?,1,tit for tat,MAGPIE
"don't go on too long about the paper, or you 'll put your foot right in it with sefton, one way or another.",1,put your foot in it,MAGPIE
"after some initial encouraging noises from jim callaghan, the labour party turned this request down and the nilp was allowed to go to the wall in the near - war situation that the province had become by the early ' 70s.",1,go to the wall,MAGPIE
"french and jewish ‘ influence’ went hand in hand for many germans and allowed völkisch opinion on the matter to flourish : slowly but surely the word völk came to mean not simply ‘ people’, but also ‘ populist’, and to imply a sense of common identity and of racial superiority over those peoples who needed the french to emancipate them.",1,go hand in hand,MAGPIE
the bones most recently found in the docks will be reburied.,0,in the dock,MAGPIE
beggars can't be choosers.,1,beggars can't be choosers,MAGPIE
"voltaire's work is, arguably, offensive but one should err on the side of allowing it to be available.",1,err on the side of,MAGPIE
any potential recruit knew the score.,1,know the score,MAGPIE
"in our earlier discussion of truth ( see chapter 4 ), we saw that it is not available in any absolute sense ; but this does not mean that ‘ anything goes’.",1,anything goes,MAGPIE
"at last the boy counted out sixpences and pennies onto the counter and picked up his final selection, an elephant mask with moulded plastic tusks of extreme sharpness and a foam - rubber trunk you could raise or lower by pulling a string.",0,pull strings,MAGPIE
"that is to say, the important international conference to take place at darlington hall was by then looming ahead of us, leaving little room for indulgence or ‘ beating about the bush’.",1,beat about the bush,MAGPIE
"she took in a few deep breaths, like a singer preparing for a song.",0,for a song,MAGPIE
a few hundred more's neither here nor there.’,1,neither here nor there,MAGPIE
"our own mothers, giving birth in the fifties and sixties, took it fairly easy as well.",1,take it easy,MAGPIE
and now it's as good as new!,1,as good as new,MAGPIE
"‘ she thought the world of him, as he had been brought back specially from florida by a friend of mine,’ said karen.",1,think the world of,MAGPIE
"relieved of the dead hand of the client and his shadow, the account executive, the creative department ran riot and produced some brilliant stuff.",1,run riot,MAGPIE
he said he took heroin for the first time when he was on the rebound from a broken relationship.,1,on the rebound,MAGPIE
it is a worrying trend which the authorities — despite past assurances — seemed to have failed to get to grips with.,1,get to grips with,MAGPIE
"a measured, geometric square, stood on edge, seems too tall.",0,on edge,MAGPIE
"anyway, that made me a scarlet woman.’",1,scarlet woman,MAGPIE
christmas looks to be a time for burying the hatchet or exhuming it for re - examination.,1,bury the hatchet,MAGPIE
the ministry bought several major items of new equipment ‘ off the shelf’ during and immediately after the falklands war.,1,off the shelf,MAGPIE
"a move which was not unwelcome to norman paterson, the company's managing director, who was born and bred in glasgow.",1,born and bred,MAGPIE
"the profession's eagerness for scientific advance had impaled it on the horns of a dilemma, forcing an unnatural choice between science and morality.",1,on the horn,MAGPIE
"‘ directors should take the rough with the smooth,’ he said.",1,take the rough with the smooth,MAGPIE
"by and large the british isles, germany and scandinavia provided the international migrants, except for specially footloose minorities such as the galicians and basques, ubiquitous in the hispanic world.",1,by and large,MAGPIE
"north korea would probably still have to admit, as iraq has done under un sanctions and as south africa did voluntarily, that it had been up to no good.",1,up to no good,MAGPIE
the environmentalists in their attempt to come to grips with ecological problems have focused on the latter contradiction points to the detriment of those between the social relations of production and the productive forces.,1,come to grips with,MAGPIE
"the principles of fair procedure which govern the conduct of disciplinary hearings also apply, by and large, to appeal hearings.",1,by and large,MAGPIE
"by the twentieth century, however, jesus and his world had become ‘ fair game’, not for luridly sensational purposes, but as valid points of enquiry and exploration for serious, internationally acclaimed literary figures.",1,fair game,MAGPIE
find out how to make straight or curved tracks.,0,make tracks,MAGPIE
"you can access it through www.gmail.com or through www.google.pt, then clicking on the gmail button that appears on the page.",0,on the button,MAGPIE
"i know jack was no good, knew it all along, but i didn't care.",1,all along,MAGPIE
"listen, i can't stay for long, but i 've twisted dmitri's arm and he can find you a couple of tickets for hedda!",1,twist someone's arm,MAGPIE
"over the years since then he has got together privately with all the surviving members for reunion jams but, unlike every other outfit he's played with ( including his canadian hometown high - school instrumental band the squire ), he's never gone public with a springfield reunion.",1,go public,MAGPIE
"an apple tree heeds to be sown, weeded, grafted and pruned and then only after a number of years will it bear fruit.",0,bear fruit,MAGPIE
"in the nhs it has meant allocations, based on last year's money usually updated for inflation with additional funds for anything new.",0,on the money,MAGPIE
"so you just have to take it fairly easy, you know, calm down and yes and and everything will go well.",1,take it easy,MAGPIE
"' the new owner of the enderley estate is a hard man, or he 'd never have the heart to turn her out, even if he does want her cottage for a gamekeeper.",1,have a heart,MAGPIE
"once more the bois des corbeaux changed hands, but german losses were so high ( one silesian battalion was reduced to 300 men ) that they could advance no further.",1,change hands,MAGPIE
"paul enjoyed the talk at the professor's house, the give and take of ideas ; presently he began to sketch out some of these at the lodging, and before many weeks had passed had a book on his hands.",1,give and take,MAGPIE
she climbed out of the wood by means of a stile and took the path that led round the cornfield.,0,out of the woods,MAGPIE
"an article in the jewish chronicle last year, in which wesker wrote that all he wanted was enough money to give the play a chance to be seen in london led to a benefactor, who wishes to remain anonymous, phoning him up and offering to underwrite the venture to the tune of £ 13,500.",1,to the tune of,MAGPIE
this is to turn the problem on its head.,1,turn something on its head,MAGPIE
the ohio bank does not leave its newcomers to sink or swim by themselves.,1,sink or swim,MAGPIE
not on your life — i 've been hanging around the set of bedroom farce hoping chris'll come back from the bar.,1,not on your life,MAGPIE
"er, speaking of accountants, i must tell you that one of the perks of my job is to be able to get out and about in the real world, to real companies, meeting real people.",1,out and about,MAGPIE
you 've had a few callers.,0,have a few,MAGPIE
because the subject is practically useful and will stand you in good stead when you set out on your chosen career.,1,stand someone in good stead,MAGPIE
you are always telling me tales of him rebuking you.,1,tell tales,MAGPIE
"' that's good, ' he said, sitting on the edge of the bed.",0,on edge,MAGPIE
"the pack uses the kst ‘ size tolerant’ system — although shoulder straps are actually sewn in place, their low take - off point on the back of the sack allows you to adjust the fit precisely, fine tuning with the top tension straps.",0,on the back of,MAGPIE
"there does seem to be a development from apparently aimless handling towards quite deliberate modelling, and the teacher will observe this in the development of the children's free play.",0,child's play,MAGPIE
"if seve ballesteros had looked a winner all along in 1979, and certainly looked likely to lift the claret jug from a long way out, dave's second open success was not so cut - and - dried.",1,cut and dried,MAGPIE
i believe that most of the incidents that i have described will strike a chord with the vast majority of black people.,1,strike a chord,MAGPIE
"brown isn't a man with a big punch ; it's those telling body - blows that sap your opponent, plus some sly head - butts in the clinch.",0,body blow,MAGPIE
all this should be controlled and monitored by a system which keeps tabs on the state of the reactor and responds when a fault occurs.,1,keep tabs on,MAGPIE
"five hundred mourners have attended the funeral of a soldier who died when an raf hercules crashed, killing all nine people on board.",0,on board,MAGPIE
"visions of the blues brothers ' rendition of rawhide apart, this experience of running the gauntlet of various texan styles seems to have benefited winter …",1,run the gauntlet,MAGPIE
"every thing was alright, though it rather took the wind out of my sails to know that i wouldn't get to speak to him after all.",1,take the wind out of someone's sails,MAGPIE
the experts ’ view is that the only profitable way to go about it is to install hundreds of windmills with a capacity of at ~ least four to five megawatts each.,0,way to go,MAGPIE
"no hunting, shooting or fishing for them, but walking and gardening and breathing in the clear air.",0,in the clear,MAGPIE
"he spent a christmas behind bars after being found with cocaine, got a three - month jail sentence for breaking a probation order and a two - year suspended sentence for possessing cocaine.",1,behind bars,MAGPIE
david rennie earned birmingham their fourth win on the trot with his first goal for the club.,1,on the trot,MAGPIE
"if you 're a fan of the vine, follow your nose and you could be one of the lucky winners of a fantastic trip to the wineries of new zealand or germany, or receive £ 1,000 worth of sainsbury's wine",1,follow your nose,MAGPIE
you don't have to get stuck into sky to hear the cry burn hollywood burn.,1,get stuck into,MAGPIE
this was the very thought in her head as she turned the corner of the corridor and back into the waiting room and saw the weeping figure of a woman hunched over and hugging herself with grief.,0,turn the corner,MAGPIE
"unfortunately a boss, child or loving partner seems intent on running you ragged with one job after another.",1,run someone ragged,MAGPIE
and the man of god is certain of everlasting joy.,1,man of god,MAGPIE
"imagination runs riot, memories of one's own lovemaking being replayed with another man playing your part.",1,run riot,MAGPIE
"ranulf and maltote following suit just as the two crossbow quarrels came whirring out of the darkness, skimming the tops of their heads.",1,follow suit,MAGPIE
"but as the runners made round the left - hand bend in front of the stands and set off into the country for the first time she was joined in the lead by run and skip, and the company clearly put her off, for she hit the third fence hard.",0,round the bend,MAGPIE
"israel, whose new ambassador in washington had complained to the press on february 14th that america was giving israel the ' runaround ' on housing aid for soviet immigrants ( the administration wanted to be sure that $ 400 m in loan guarantees, now agreed, would not be used to settle immigrants in the west bank ).",1,give someone the runaround,MAGPIE
' he sweat like pig. ',1,sweat like a pig,MAGPIE
"long before shapeless cardigans and outsize feet were making their fashion comeback, may mcfettridge was blazing a style trail in elastic stockings and corn plasters.",1,blaze a trail,MAGPIE
so i took it out of my pocket and he said what was happened then?,0,out of pocket,MAGPIE
they were finding it hard to make ends meet and life had become very miserable.,1,make ends meet,MAGPIE
"generally speaking, the minima recorded in the air and on the rock surface are the same, but the maxima recorded on rock considerably exceed the air maxima, the actual amount of the excess depending principally on the nature of the surface and the relation of the surface to the prevailing wind.",0,on the rocks,MAGPIE
"nice little rider, but no good when the chips are down.",1,when the chips are down,MAGPIE
she said that allibar was going to have a heart attack and die.,0,have a heart,MAGPIE
"nancy's unbelievably long in the tooth,’ haverford told them.",1,long in the tooth,MAGPIE
"in return for giving loblaws its official seal of approval, probe was to receive a royalty on sales.",1,seal of approval,MAGPIE
a lot of people don't come face to face with me here,1,face to face,MAGPIE
"everything is made to change just in the nick of time, and even the return letter office suspends its laws that jane eyre may carry on a tale with effect.",1,in the nick of time,MAGPIE
"bringing up the rear, bishop frowned thoughtfully.",1,bring up the rear,MAGPIE
"then, brisk again, ' i 'll bear it in mind. '",1,bear in mind,MAGPIE
"he talks a lot of tommy rot about not making ends meet, but what i say is you 've got to cut your coat according to your cloth.",1,cut your coat according to your cloth,MAGPIE
the women's officer commented : ‘ it looks as though men have thrown in the towel!’,1,throw in the towel,MAGPIE
"in part his object, especially in new york, was to recruit seamen from british ships into the union, a device which joe cotter, for one, regarded with admiration since as a result membership of the nsfu "" went up by leaps and bounds "" but he was also testing out the reaction of the men to the notion of an international strike, a theme he pursued at dozens of meetings in the united kingdom in the following year, thirty such meetings being held in london alone.",1,by leaps and bounds,MAGPIE
"it is a good year, therefore, at which to take stock of the various proposals and identify a number of common themes.",1,take stock,MAGPIE
ఆలస్యం అమృతం విషం,1,ఆలస్యం అమృతం విషం,Kaggle-Indian-Idioms
using a vegetable peeler peel 450 g of large potatoes and 450 g of small potatoes.,0,small potatoes,MAGPIE
so the odd one out there?,1,odd one out,MAGPIE
a decision by the germans to leave their interest rates unchanged put the skids under prices in london and the ft - se 100 was on the slippery slope.,1,slippery slope,MAGPIE
watch this space — or rather the space on the backs of those notes.,1,watch this space,MAGPIE
tom twisted mary's arm and she agreed to donate some money to our charity.,1,twist someone's arm,MAGPIE
"there's a pub that's very similar in constructions to that, that lies low beside the lock.",0,lie low,MAGPIE
"once any treatment has been completed, partial water changes should be carried out every three days on three consecutive occasions, before returning to fortnightly changes of about 20 %, with water that must be as near as possible to that already in the aquarium,(but hopefully that goes without saying these days ).",1,go without saying,MAGPIE
doesn't ring a bell.,1,ring a bell,MAGPIE
"currently appearing in a sealink stena tv commercial, judith can also be spotted on billboards across belfast city centre.",0,spot on,MAGPIE
"at this point, it will pay dividends if you spend a few more seconds scanning the small print in the ads.",1,small print,MAGPIE
only a drift of her stayed on the solemn air of the dining room — a drift of parma violet and a heavy load on nicandra's mind.,1,on someone's mind,MAGPIE
thus the circle is squared!,1,square the circle,MAGPIE
"probably because he 'd been so much on her mind, she instantly fell into dreaming of adam, his dark fathomless eyes and granite features dominating her sleep.",1,on someone's mind,MAGPIE
it's just one of those things that happens at parties ; people do get drunk and they do do things they wouldn't normally think of.,1,one of those things,MAGPIE
"shaving takes off one mark ; ladle, another mark ; court - plaster on your nose, another.",0,on the nose,MAGPIE
"whereas the most the prime minister had ever conceded before polling day was a vague pledge to ‘ take stock’, mr lang, while stressing the need to preserve the union at all costs, said : ‘ i 'm certainly not ruling out change …",1,take stock,MAGPIE
"there are those who would tell you that bmw's reputation for first - class finish has been on thin ice for some time but, until now, we 've seen little evidence to substantiate the claim.",1,on ice,MAGPIE
"chairman dick corden, looking for new blood on the board, said : ‘ i 'll be happy to finish fifth from bottom.’",1,new blood,MAGPIE
is he aware that such cuts in academic research will prove to be economic short termism with vengeance?,1,with a vengeance,MAGPIE
"erm erm and then he was going spare and he says these are the worst i 've ever received in all the years i 've been teaching, right?",1,go spare,MAGPIE
if the map of leicestershire were a face it would have a few small pimples on its chin and they would take fifty years to come to a head.,1,come to a head,MAGPIE
did you bite your lip?,0,bite your lip,MAGPIE
"in this case, restoration is akin to the cosmetic procedures adopted by the american film industry, intent on transforming classics shot in black and white into full technicolour a facelift for the linguistic corpse left by the director.",0,in black and white,MAGPIE
"true to form, mrs hancock agreed to a live hook - up with australia's ray martin midday show on television within minutes of the requiem.",1,true to form,MAGPIE
"they can make tracks and footmarks in the snow, and on finding footmarks can guess which way the person who made them was going.",0,make tracks,MAGPIE
"should you take some beecham's powders along, do you think?",0,take a powder,MAGPIE
"when conditions are very squally it is better to have the wings held level, with as much weight on the nose as possible.",0,on the nose,MAGPIE
"ssh — take it easy, take it easy —‘control’, remember?",1,take it easy,MAGPIE
visits to school were few and far between and it was not long before his parents washed their hands of him.,1,few and far between,MAGPIE
some languages have long words of many syllables which are difficult to pronounce at first.,0,have words,MAGPIE
